Label,x,y,z,xNorm,yNorm,zNorm,Area
0,131.975632,45.823311,2.742492,0.77444500000000005,0.61882199999999998,0.13150800000000001,17.590579
1,131.078308,46.180759,6.368483,0.74434999999999996,0.65717000000000003,0.11862200000000001,16.544191
2,130.212204,46.524643,9.926675,0.71157999999999999,0.69468099999999999,0.105224,16.041029
3,129.358002,46.862587,13.507378,0.67547100000000004,0.73172499999999996,0.091194999999999998,15.946542
4,128.516495,47.194244,17.122141,0.63609499999999997,0.76778599999999997,0.076731999999999995,15.645958
5,127.698166,47.515411,20.743111,0.59415700000000005,0.80193400000000004,0.062281999999999997,15.408142
6,126.890854,47.83078,24.447405,0.54933900000000002,0.83422399999999997,0.04793,15.863725
7,126.108902,48.134708,28.191229,0.50285400000000002,0.86369200000000002,0.034272999999999998,15.364111
8,125.379692,48.416565,31.8633,0.45702100000000001,0.889181,0.022092000000000001,15.001145
9,124.70137,48.677185,35.481426,0.41250199999999998,0.910883,0.011564,14.761926
10,124.072098,48.917435,39.063416,0.369834,0.92909399999999998,0.002771,14.635867
11,123.488014,49.138901,42.640331,0.32928099999999999,0.94422200000000001,-0.0043039999999999997,14.723605
12,122.947418,49.342358,46.231346,0.291128,0.95663500000000001,-0.0097199999999999995,14.812614
13,122.452202,49.527252,49.830154,0.25580900000000001,0.96663200000000005,-0.013575,14.894203
14,122.002533,49.693695,53.434418,0.223549,0.97456100000000001,-0.016041,14.997855
15,121.597145,49.842365,57.045952,0.19439400000000001,0.98077000000000003,-0.017343999999999998,15.118206
16,121.234116,49.974178,60.666348,0.16828699999999999,0.98557899999999998,-0.017721000000000001,15.250133
17,120.911026,50.090252,64.296867,0.145089,0.98926599999999998,-0.017398,15.388904
18,120.625084,50.191811,67.938393,0.124614,0.99206700000000003,-0.016579,15.530364
19,120.373329,50.280151,71.5914,0.106641,0.99417800000000001,-0.015436,15.670953
20,120.152695,50.356579,75.256004,0.090940999999999994,0.99575599999999997,-0.014106,15.807774
21,119.960159,50.422363,78.931992,0.077281000000000002,0.99692899999999995,-0.012696000000000001,15.938537
22,119.792801,50.478722,82.618889,0.065437999999999996,0.99779300000000004,-0.011279000000000001,16.061541
23,119.647865,50.526783,86.316002,0.055203000000000002,0.99842600000000004,-0.0099129999999999999,16.175754
24,119.522789,50.567589,90.022522,0.046380999999999999,0.99888699999999997,-0.0086289999999999995,16.2804
25,119.416832,50.601585,93.672081,0.038913000000000003,0.99921499999999996,-0.0074669999999999997,15.797977
26,119.327194,50.629845,97.272621,0.032596,0.999448,-0.00643,15.957935
27,119.249878,50.653786,100.897209,0.027143,0.99961599999999995,-0.0054949999999999999,16.106953
28,119.183472,50.673969,104.544266,0.022454000000000002,0.99973699999999999,-0.0046639999999999997,16.244421
29,119.126709,50.690903,108.212036,0.018438,0.99982199999999999,-0.0039319999999999997,16.369774
30,119.078423,50.705044,111.898674,0.015014,0.99988200000000005,-0.0032959999999999999,16.4826
31,119.037582,50.716789,115.602188,0.012109,0.99992300000000001,-0.0027469999999999999,16.582724
32,119.00322,50.726509,119.320557,0.0096600000000000002,0.99995100000000003,-0.0022790000000000002,16.669897
33,118.974518,50.734528,123.051628,0.007607,0.999969,-0.0018860000000000001,16.743743
34,118.950684,50.741135,126.793106,0.005901,0.99998100000000001,-0.0015579999999999999,16.803665
35,118.931313,50.746513,130.485001,0.0045129999999999997,0.99998900000000002,-0.0012949999999999999,16.332499
36,118.915512,50.750957,134.172302,0.003382,0.99999400000000005,-0.0010839999999999999,16.790124
37,118.902351,50.75478,137.960129,0.002447,0.99999700000000002,-0.00091500000000000001,17.258522
38,118.891777,50.758041,141.756851,0.001704,0.99999800000000005,-0.00079000000000000001,16.887893
39,118.883469,50.760853,145.511108,0.0011329999999999999,0.99999899999999997,-0.00070200000000000004,16.889871
40,118.876907,50.76339,149.264435,0.00069899999999999997,1.0,-0.00064599999999999998,16.888133
41,120.371208,50.765591,153.647171,0.00024800000000000001,1.0,-0.00077999999999999999,4.215215
42,117.370842,50.766724,153.635391,0.00024699999999999999,1.0,-0.00046099999999999998,4.225035
43,118.87252,50.765381,152.391037,0.000513,1.0,-0.00062,8.439987
44,117.740494,50.76968,159.233673,5.1e-05,1.0,-0.00058799999999999998,6.595885
45,119.990601,50.769566,159.235352,5.1e-05,1.0,-0.00066699999999999995,6.588356
46,119.993256,50.767624,156.333069,0.000175,1.0,-0.00067299999999999999,6.472922
47,117.742989,50.768013,156.328094,0.000175,1.0,-0.00055900000000000004,6.480366
48,129.025421,49.518017,2.730383,0.76658300000000001,0.61274600000000001,0.192075,17.650159
49,128.03981,49.628754,6.332982,0.73701099999999997,0.65134199999999998,0.18046499999999999,16.59164
50,127.087425,49.734138,9.86915,0.70481199999999999,0.68921699999999997,0.167987,16.077891
51,126.147041,49.836494,13.428739,0.66931099999999999,0.72674899999999998,0.15446499999999999,15.973412
52,125.219437,49.935658,17.023373,0.63055799999999995,0.76340799999999998,0.140019,15.66246
53,124.316147,50.030308,20.625517,0.58922600000000003,0.79823699999999997,0.12501899999999999,15.415054
54,123.42363,50.121738,24.312096,0.54498400000000002,0.83126800000000001,0.10947800000000001,15.861989
55,122.557724,50.208267,28.039692,0.49901699999999999,0.86148199999999997,0.093967999999999996,15.355386
56,121.748772,50.2869,31.697636,0.45362200000000003,0.88765300000000003,0.079364000000000004,14.987897
