ITEM NAME,VARIABLE,MIN,MAX,AVG,RMS,STDDEV
909,UMag,5.098422638,5.894676723,5.546101936,5.549360844,0.190155422
909,p,47.9324892,53.800607,51.62213995,51.63774434,1.269372985
910,Ux,-0.188534855,0.03413231,-0.081637595,0.097590121,0.05347088
910,Uy,-5.55002117,-5.04346477,-5.307315947,5.308783873,0.124834475
910,Uz,1.06455394,1.50602269,1.306809929,1.311483751,0.110622951
910,UMag,5.256474844,5.663772645,5.468371643,5.469250375,0.09803695
910,p,51.2454095,56.3679075,54.58731533,54.59839473,1.099869382
911,Ux,-0.502732175,-0.373241748,-0.44290249,0.443978856,0.030896745
911,Uy,-3.68450658,-3.47562569,-3.577014854,3.577364343,0.050003754
911,Uz,0.657341742,0.955115555,0.795832112,0.799108474,0.072288333
911,UMag,3.61816906,3.785027469,3.692103213,3.692320032,0.040013506
911,p,56.5834843,61.542765,59.73220615,59.74240061,1.103620987
912,Ux,-0.50662749,-0.430554636,-0.472004103,0.472344825,0.01793768
912,Uy,-2.81903072,-2.69134563,-2.746275594,2.746446526,0.030641148
912,Uz,-0.25609434,-0.095510059,-0.184133919,0.187995663,0.037908693
912,UMag,2.728434138,2.87122638,2.792889145,2.793102311,0.034507185
912,p,61.4020498,66.0611273,64.30915515,64.31784626,1.057313135
913,Ux,-0.892660989,-0.80304698,-0.85255459,0.852827656,0.021579673
913,Uy,-4.847023,-4.64246369,-4.716707399,4.716912194,0.043954043
913,Uz,-0.721095179,-0.477615273,-0.619319118,0.622078787,0.05853073
913,UMag,4.758357488,4.959378623,4.833376108,4.83358642,0.045089653
913,p,59.635903,64.2017225,62.47805774,62.48685897,1.048734957
914,Ux,-0.912639629,-0.848061109,-0.881540889,0.881676938,0.015488152
914,Uy,-2.49271243,-2.36335353,-2.409528973,2.409680549,0.027027309
914,Uz,-0.412999248,-0.225363976,-0.336054969,0.339136602,0.045614611
914,UMag,2.545238997,2.665553884,2.588100596,2.588228777,0.025758672
914,p,64.6023528,68.291836,66.88556963,66.89075011,0.832481089
915,Ux,-1.38160667,-1.32369244,-1.354032033,1.35410106,0.013672474
915,Uy,-3.94607999,-3.71472279,-3.801487598,3.801853111,0.052717293
915,Uz,-1.17546836,-0.976659925,-1.09743842,1.098511138,0.048534871
915,UMag,4.117220542,4.295369661,4.182456512,4.182631167,0.038223078
915,p,62.2203357,65.7519438,64.41587566,64.42071265,0.789418609
916,Ux,-0.949655532,-0.92426588,-0.934632351,0.934650972,0.005899858
916,Uy,-1.56522099,-1.45494492,-1.496501165,1.496716916,0.025412419
916,Uz,-1.07044895,-0.943517973,-1.019459051,1.019934611,0.031142475
916,UMag,2.018463191,2.072319093,2.038103913,2.038136545,0.011533241
916,p,64.0198037,66.922943,65.79878803,65.80191973,0.641976492
917,Ux,-1.69763438,-1.59367133,-1.632907674,1.633081281,0.023811738
917,Uy,-1.67317652,-1.5272316,-1.582557306,1.582914297,0.033616125
917,Uz,-1.55346585,-1.52739293,-1.536776731,1.536787601,0.005780172
917,UMag,2.685899323,2.842351256,2.744626855,2.744865802,0.036217411
917,p,60.7042558,63.9013012,62.65842972,62.66253701,0.71744657
918,Ux,11.4122909,11.9036148,11.6153015,11.61607222,0.13380922
918,Uy,-0.518113184,-0.505870703,-0.511084283,0.511089987,0.002414671
918,Uz,-0.855278749,-0.084238501,-0.462753613,0.501940424,0.194430666
918,UMag,11.44168694,11.91944899,11.63740041,11.6381395,0.131159372
918,p,-79.7228076,-66.5051924,-71.88321568,71.97810116,3.694637982
919,Ux,10.4809963,11.1037472,10.78912239,10.79049721,0.17224455
919,Uy,-0.53410461,-0.524683175,-0.529217346,0.529221065,0.001984235
919,Uz,0.983948885,1.66432222,1.346430614,1.357259136,0.171105131
919,UMag,10.60641214,11.18537353,10.88718375,10.88839094,0.162133363
919,p,-105.816029,-88.6145883,-97.78690494,97.90085924,4.722230639
920,Ux,9.58339274,10.4296846,10.01368838,10.01581034,0.206159599
920,Uy,-0.559047376,-0.544056661,-0.551326684,0.551335476,0.003113622
920,Uz,1.42555706,1.98778019,1.745041926,1.750367979,0.136443165
920,UMag,9.774765449,10.55184471,10.18071386,10.18254465,0.193082319
920,p,-113.118057,-90.6246119,-101.7820753,101.9433333,5.731696212
921,Ux,8.69521529,9.55276433,9.142366126,9.144751303,0.208849265
921,Uy,-0.569124354,-0.545718255,-0.556754401,0.556777143,0.005032269
921,Uz,1.53218374,2.09065412,1.839303943,1.843605543,0.125866608
921,UMag,8.920670906,9.719659949,9.343288533,9.34533887,0.195749775
921,p,-112.186214,-87.9824538,-99.33238135,99.53474883,6.343834725
922,Ux,8.86155051,9.80723344,9.333095915,9.335767151,0.223313567
922,Uy,-0.565096178,-0.532397538,-0.547534701,0.547577942,0.006881342
922,Uz,1.93182347,2.62841499,2.300255373,2.304725071,0.143467322
922,UMag,9.105959698,10.06964029,9.629177439,9.631622271,0.217000926
922,p,-108.316096,-82.0854693,-93.57335267,93.82791957,6.906964793
923,Ux,9.08328682,10.2051615,9.659574566,9.661643581,0.199939703
923,Uy,-0.628210568,-0.561217279,-0.593134771,0.593251078,0.011746719
923,Uz,3.10323659,4.02836035,3.718587428,3.722632699,0.173498568
923,UMag,9.831550476,10.83398042,10.36934101,10.37098345,0.18456625
923,p,-90.5972908,-61.3886746,-74.24523704,74.60923973,7.360939467
924,Ux,5.66064301,7.32807705,6.342583791,6.349905473,0.304844829
924,Uy,-0.271983893,0.048948752,-0.135995252,0.146319155,0.053986911
924,Uz,4.16075033,5.19480405,4.688812949,4.691225107,0.150419833
924,UMag,7.208010266,8.827758127,7.89098504,7.89622073,0.287501141
924,p,-66.5837158,-33.5053819,-49.11258149,49.67930295,7.482478285
925,Ux,-1.56328186,-0.45987432,-1.01017389,1.027381412,0.187246568
